hotel_id,description_text
1001,Banyoda jakuzi bulunması büyük artıydı. Denize sıfır konumu sayesinde plaj erişimi mükemmeldi. Restoran personeli oldukça ilgiliydi. Çevre düzenlemesi ve bahçesi son derece güzeldi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1001,Check-in ve check-out işlemleri hızlı ve sorunsuzdur. Hamam ve sauna tesisleri mükemmel durumdaydı. Toplam 7 km mesafede birçok misafir dostu restoran bulunuyor. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1001,A la carte menüsündeki deniz ürünleri tazeydi. Havuz alanı çok geniş ve temizdi. Toplam 5 km mesafede birçok misafir dostu restoran bulunuyor. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1001,Türkçe konuşan personel bulmak çok kolaylaştırdı iletişimi. Şehir merkezine yürüme mesafesindeydi. Klima sistemi sorunsuz çalışıyordu. Türk hamamı deneyimi unutulmazdı. Harika bir tatil geçirdik.<br/>Kesinlikle tavsiye ederim. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1002,"Havalimanına olan uzaklık mantıklıydı. Ses yalıtımı iyiydi, komşu seslerinden rahatsız olmadık. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1002,"Şikâyetlerimiz anında çözüldü, yönetim hassastı. Otelden sahile yürüyerek kolayca ulaşılıyordu. Fitness merkezi modern ekipmanlarla donatılmıştı. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1002,"Ulaşım imkânları yeterliydi, servis düzenliydi. Her şey dahil konsepti parasının hakkını veriyordu. Fitness merkezi modern ekipmanlarla donatılmıştı. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1003,"Barbekü akşamları otelin en keyifli anıydı. Fitness merkezi modern ekipmanlarla donatılmıştı. Odalar geniş ve ferahtı, temizliğe önem verilmişti. Erken rezervasyon indirimi sayesinde çok uygun fiyata kaldık. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1003,Klima sistemi sorunsuz çalışıyordu. Resepsiyon ekibi 7/24 ilgiliydi ve her sorumuzu çözüme kavuşturdu. Akşam yemekleri Türk mutfağının en güzel örneklerini sunuyordu. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1003,Fiyat-performans dengesi oldukça iyiydi. Banyoda jakuzi bulunması büyük artıydı. Toplam 3 km mesafede birçok misafir dostu restoran bulunuyor. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1004,Restoran personeli oldukça ilgiliydi. Çocuk havuzu ve kaydıraklar aileler için idealdi. Oda servisi hızlı ve eksiksizdi. Çevre düzenlemesi ve bahçesi son derece güzeldi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1004,"Ekstra ücretler şeffaf bir şekilde bildirildi. Türk hamamı deneyimi unutulmazdı. Odalar geniş ve ferahtı, temizliğe önem verilmişti. Tarihi alanlara ve müzelere çok yakındı. Plaj erişimi kolaydı.<br/>Deniz suyu temizdi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1004,"A la carte menüsündeki deniz ürünleri tazeydi. Resepsiyon ekibi 7/24 ilgiliydi ve her sorumuzu çözüme kavuşturdu. Otel plajı sakin ve özeldi, kalabalık değildi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1004,Açık büfe kahvaltı çok zengin ve tazeydi. Resepsiyon ekibi 7/24 ilgiliydi ve her sorumuzu çözüme kavuşturdu. Havalimanına olan uzaklık mantıklıydı. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1005,A la carte menüsündeki deniz ürünleri tazeydi. Her şey dahil konsepti parasının hakkını veriyordu. Hamam ve sauna tesisleri mükemmel durumdaydı. Harika bir tatil geçirdik.<br/>Kesinlikle tavsiye ederim. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1005,"Fitness merkezi modern ekipmanlarla donatılmıştı. Şikâyetlerimiz anında çözüldü, yönetim hassastı. Akşam yemekleri Türk mutfağının en güzel örneklerini sunuyordu. Plaj erişimi kolaydı.<br/>Deniz suyu temizdi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1005,"Personel güler yüzlü ve yardımseverdi. Deniz suyu tertemizdi, <br/>plaj şezlonları çok rahattı. Banyoda jakuzi bulunması büyük artıydı. Oda temizliği mükemmeldi.<br/>Personel çok ilgiliydi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1005,Çevre düzenlemesi ve bahçesi son derece güzeldi. Personel güler yüzlü ve yardımseverdi. Balkon manzarası nefes kesiciydi. Ekstra ücretler şeffaf bir şekilde bildirildi. Toplam 7 km mesafede birçok misafir dostu restoran bulunuyor. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1006,"Ulaşım imkânları yeterliydi, servis düzenliydi. Concierge hizmeti tur önerileri için çok yardımcıydı. Ekstra ücretler şeffaf bir şekilde bildirildi. Özel plaj alanı oldukça bakımlıydı. Plaj erişimi kolaydı.<br/>Deniz suyu temizdi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1006,Fitness merkezi modern ekipmanlarla donatılmıştı. Personel güler yüzlü ve yardımseverdi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1006,Sabah kahvaltıları için sunulan peynir ve zeytin çeşitleri harikaydı. Personel güler yüzlü ve yardımseverdi. Verilen ücret için beklentilerin üzerinde hizmet aldık. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1006,Çocuk havuzu ve kaydıraklar aileler için idealdi. Havalimanına olan uzaklık mantıklıydı. Oda servisi hızlı ve eksiksizdi. Verilen ücret için beklentilerin üzerinde hizmet aldık. Oda temizliği mükemmeldi.<br/>Personel çok ilgiliydi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1007,Barbekü akşamları otelin en keyifli anıydı. Her şey dahil konsepti parasının hakkını veriyordu. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1007,"Ulaşım imkânları yeterliydi, servis düzenliydi. Restoran personeli oldukça ilgiliydi. Erken rezervasyon indirimi sayesinde çok uygun fiyata kaldık. Ses yalıtımı iyiydi, komşu seslerinden rahatsız olmadık. Harika bir tatil geçirdik.<br/>Kesinlikle tavsiye ederim. Toplam 4 km mesafede birçok misafir dostu restoran bulunuyor. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1007,"Resepsiyon ekibi 7/24 ilgiliydi ve her sorumuzu çözüme kavuşturdu. Ekstra ücretler şeffaf bir şekilde bildirildi. Odalar geniş ve ferahtı, temizliğe önem verilmişti. Havalimanına olan uzaklık mantıklıydı. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1007,Concierge hizmeti tur önerileri için çok yardımcıydı. Erken rezervasyon indirimi sayesinde çok uygun fiyata kaldık. Konum merkeze yaklaşık 2 km mesafedeydi. Oda servisi hızlı ve eksiksizdi. Harika bir tatil geçirdik.<br/>Kesinlikle tavsiye ederim. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1008,"Yemek kalitesi fiyatıyla orantılıydı. Personel güler yüzlü ve yardımseverdi. Deniz suyu tertemizdi, <br/>plaj şezlonları çok rahattı. Klima sistemi sorunsuz çalışıyordu. Harika bir tatil geçirdik.<br/>Kesinlikle tavsiye ederim. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1008,Balkon manzarası nefes kesiciydi. Çocuk havuzu ve kaydıraklar aileler için idealdi. Check-in ve check-out işlemleri hızlı ve sorunsuzdur. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1008,"Türkçe konuşan personel bulmak çok kolaylaştırdı iletişimi. Spa ve wellness merkezi profesyonelce yönetiliyordu. Ses yalıtımı iyiydi, komşu seslerinden rahatsız olmadık. A la carte menüsündeki deniz ürünleri tazeydi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu."
1008,Denize sıfır konumu sayesinde plaj erişimi mükemmeldi. Türkçe konuşan personel bulmak çok kolaylaştırdı iletişimi. Çevre düzenlemesi ve bahçesi son derece güzeldi. İstanbul'un tarihi dokusu otelin yakınında hissediliyordu.
1009,Çevre düzenlemesi ve bahçesi son derece güzeldi. Masaj hizmetleri gerçekten rahatlatıcıydı. Verilen ücret için beklentilerin üzerinde hizmet aldık. Havuz alanı çok geniş ve temizdi. Antalya'nın muhteşem sahil şeridine bakan bir konumda yer alıyor.
